,filename,part,staves,mc_mean,mn_mean
314,Strange_Meadowlark__The_Dave_Brubeck_Quartet_solo_alto_saxophone.mscz,part_1,[1],26.059782608695652,26.059782608695652
315,Sunflower_Slow_Drag__Scott_Joplin.mscz,part_1,"[1, 2]",47.63833428408443,47.63833428408443
316,Super_Mario_World_Ending_Theme_as_played_by_Tom_Brier.mscz,part_1,"[1, 2]",103.52231312755671,103.52231312755671
317,SWANEE_RIVER_BOOGIE_WOOGIE_-_ALBERT_AMMONS.mscz,part_1,"[1, 2]",55.74839400428265,55.74839400428265
318,Sweet_Jazz_Music_-_Jelly_Roll_Morton___Library_of_Congress.mscz,part_1,"[1, 2]",16.58924485125858,16.58924485125858
319,Swipesy_Cake_Walk_-_Scott_Joplin.mscz,part_1,"[1, 2]",45.791724137931034,45.791724137931034
320,take_the_a_train.mscz,part_1,[1],17.133333333333333,17.133333333333333
321,Tea_for_Two.mscz,part_1,"[1, 2]",18.495348837209303,18.495348837209303
322,Temptation_Rag_by_Henry_Lodge_1909.mscz,part_1,[1],54.374730021598275,53.38336933045356
323,Temptation_Rag_by_Henry_Lodge_1909.mscz,part_2,[2],53.12171837708831,52.13126491646778
324,Temptation_Rag___Simplified (1).mscz,part_1,"[1, 2]",4.3493150684931505,4.3493150684931505
325,Temptation_Rag___Simplified.mscz,part_1,"[1, 2]",4.3493150684931505,4.3493150684931505
326,That_Enticing_Two_Step_by_Blanche_M._Tice_1914.mscz,part_1,"[1, 2]",66.7819829424307,66.7819829424307
327,That_Fascinating_Rag_by_Walter_Rolfe_1911.mscz,part_1,"[1, 2]",44.40668080593849,44.40668080593849
328,That_Poker_Rag.mscz,part_1,"[1, 2]",46.435810810810814,46.435810810810814
329,That_Potatoe_Bug_Rag_by_Axel_Christensen_1916.mscz,part_1,[1],35.150137741046834,34.15289256198347
330,That_Potatoe_Bug_Rag_by_Axel_Christensen_1916.mscz,part_2,[2],34.1605415860735,33.16247582205029
331,There_Is_No_Greater_Love.mscz,part_1,[1],31.153392330383483,31.153392330383483
332,The_Black_Diamond_by_Grace_M._Bolen_1899.mscz,part_1,"[1, 2]",37.87655417406749,37.87655417406749
333,The_Cake_Walk_at_Boomblesteins_Ball_as_performed_by_Tom_Brier.mscz,part_1,"[1, 2]",80.89578074287775,79.89578074287775
334,The_Cascades_-_A_Scott_Joplin_Rag.mscz,part_1,"[1, 2]",40.25974981604121,40.25974981604121
335,The_Cutter.mscz,part_1,"[1, 2]",39.67875354107649,39.67875354107649
336,The_Dixie_Rag.mscz,part_1,"[1, 2]",40.86990801576872,40.86990801576872
337,The_Easy_Winners (1).mscz,part_1,"[1, 2]",27.482882882882883,27.482882882882883
338,The_Easy_Winners (2).mscz,part_1,"[1, 2]",48.27787716159809,48.27787716159809
339,THE_EASY_WINNERS_piano.mscz,part_1,"[1, 2]",48.273321449792036,48.273321449792036
340,The_entertainer (1).mscz,part_1,[1],18.690265486725664,18.690265486725664
341,The_entertainer (14).mscz,part_1,"[1, 2]",26.533011272141707,26.533011272141707
342,The_Entertainer (22).mscz,part_1,"[1, 2]",40.31362275449102,38.683383233532936
343,The_Entertainer (24).mscz,part_1,"[1, 2]",10.78918918918919,10.78918918918919
344,The_Entertainer (25).mscz,part_1,"[1, 2]",45.046162723600695,45.046162723600695
345,The_Entertainer (26).mscz,part_1,"[1, 2]",28.797891036906854,28.797891036906854
346,The_Entertainer (27).mscz,part_1,"[1, 2]",73.58029978586724,73.58029978586724
347,The_Entertainer (4).mscz,part_1,"[1, 2]",16.405594405594407,16.405594405594407
348,THE_ENTERTAINER (6).mscz,part_1,"[1, 2]",44.982265446224254,43.410755148741416
349,The_Entertainer (7).mscz,part_1,"[1, 2]",52.023603082851636,52.023603082851636
350,The_Entertainer_-_Scott_Joplin (2).mscz,part_1,"[1, 2]",39.233387358184764,39.233387358184764
351,The_Entertainer_-_Scott_Joplin (3).mscz,part_1,"[1, 2]",44.96794504865483,44.96794504865483
352,The_Entertainer_-_Scott_Joplin (4).mscz,part_1,"[1, 2]",74.99873128647552,74.99873128647552
353,The_Entertainer_-_Scott_Joplin.mscz,part_1,"[1, 2]",10.824390243902439,10.824390243902439
354,The_Entertainer_-_Scott_Joplin_-_1902.mscz,part_1,"[1, 2]",44.982265446224254,43.410755148741416
355,The_Entertainer_-_Scott_Joplin__Westworld.mscz,part_1,"[1, 2]",22.939075630252102,22.939075630252102
356,The_Entertainer_2._Version.mscz,part_1,"[1, 2]",11.385964912280702,11.385964912280702
357,The_Entertainer_Alfreds_Version.mscz,part_1,"[1, 2]",11.157894736842104,11.157894736842104
358,The_Entertainer_By_Scott_Joplin.mscz,part_1,"[1, 2]",74.67175810473816,74.67175810473816
359,The_Entertainer_Demystified.mscz,part_1,"[1, 2]",11.555256064690028,11.555256064690028
